Graduation Year;Student;Dissertation;Advisor;Committee Members
2026;Annette Jing;Topics in Multivariate Time Series Evaluation and Forecasting;Hong (Econ);Lai, Romano, Fox, Taylor
2026;Rex Shen;Statistical Advances in Synthetic Data Generation and Longitudinal Analysis;Tian;Taylor, Efron
2026;Asher Spector;Topics in assumption-lean statistical inference;Candes;Hastie, Lei (GSB)
2025;Zhaomeng Chen;Topics in Selective and Causal Inference;Candes;Hastie, Sabatti
2025;Chen Cheng;Towards Modern Datasets: Laying Mathematical Foundations to Streamline Machine Learning;Duchi/Montanari;Candes
2025;John Cherian;Conditional Guarantees in Model-Free Inference;Candes;Duchi, Hastie
2025;Apratim Dey;Mathematical Statistics in 2025;David Donoho;Johnstone, Montanari
2025;Paula Gablenz;Detecting and Measuring Important Variables:  Novel Methods with Statistical Guarantees;Sabatti;Candes, Hastie, Palacios
2025;Disha Ghandwani;Scalable Statistical Models for Personalized Recommendation: Incorporating Random Slopes and Latent Structure;Hastie;Taylor, Owen
2025;Yujin Jeong;Topics in Causal Inference and Distribution Shifts;Fox;Rothenhaeusler, Johari (MS&E)
2025;Harrison Li;Precise Randomized Experiments Through Design and Estimation;Owen;Rothenhaeusler, Wager
2025;Tim Morrison;Experimental Design Methods for Treatment Effect Estimation Under Constraints;Owen;Rothenhaeusler, Baiocchi
2025;Anav Sood;New Perspectives on Dimensionality Reduction and Selective Inference;Hastie;Taylor, Owen
2025;Jae Hyun (James) Yang;Fast and Scalable Solvers for Penalized Regression with Sparsity;Hastie;Taylor, Rothenhaeusler
2025;Julie Zhang;Coalescent Structures and Their Generalizations;Palacios;Rosenberg (Bio), Sabatti, Walther
2024;Fang Cai;Connecting Frequentist and Bayesian Inference;Efron;Tibshirani, Wong
2024;Kevin Binh Fry;Applications of Data Fission: Spatial Estimation and Model-free Selective Inference;Taylor;Switzer, Tibshirani
2024;Isaac Gibbs;Expanded Coverage Guarantees for Conformal Inference;Candes;Duchi, Schramm
2024;Jayoon Jang;Topics on Finite-sample Valid Inference and the Finite Population Bootstrap;Candes/Walther;Taylor
2024;Ying Jin;Modern Statistical Methodology for Generalizable and Trustworthy Inference;Candes/Rothenhaeusler;Owen
2024;Samir Khan;Methods for Causal Inference with Limited or No Overlap;Ugander (MSE);Owen, Rothenhaeusler
2024;Dan Kluger;Topics in Data Fusion with Applications to Agriculture;Owen/Lobell (Earth System Science);Switzer
2024;Sifan Liu;Advances in Quasi-Monte Carlo;Owen;Palacios, Taylor
2024;Zexin Pan;Super-polynomial Accuracy of Randomized Nets Using the Median-of-means;Owen;Chatterjee, Schramm
2024;Yu Wang;Eigenvalue-based Regressors in High Dimensions;Donoho;Johnstone, Owen
2024;Kangjie Zhou;Computational and Informational Limits in High-dimensional Statistical Problems;Montanari;Candes, Dembo
2023;Michael Feldman;Principal Component Analysis Under Extreme Aspect Ratios;Donoho;Johnstone, Montanari
2023;Kevin Xinkai Guo;Three Essays in Causal Inference;Rothenhaeusler;Owen, Romano
2023;Kevin Han;Estimation and Testing Methods for Causal Inference with Interference;Imbens (Econ) / Ugander (MSE);Owen
2023;Theodor Jakub Misiakiewicz;Learning with Neural Networks in High Dimensions;Montanari;Donoho, Johnstone
2023;Samyak Rajanala;On Some Topics in Statistical Learning: Cluster-Aware Lasso & Others;Tibshirani;Hastie, Palacios
2023;Souvik Ray;Stability of Solutions of Random Optimization Problems Under Small Perturbations;Chatterjee;Dembo, Diaconis
2023;Benjamin Seiler;Applications of Cooperative Game Theory to Interpretable Machine Learning;Owen;Palacios, Taylor
2023;Marius Aurel Tirlea;Permutation-Based Inference in Time Series Analysis;Romano;Duchi, Owen
2023;Han Wu;Causal Inference with Non-standard Experimental Designs;Wager (GSB);Hastie, Siegmund
