"Departamentos","Conf_total_acumulados","Conf_ultimo_14_dias","Fall_total_acumulados","Fall_ultimo_14_dias"
"Colón","13.497","6","98","0"
"Concordia","24.930","40","339","0"
"Diamante","7.178","9","95","0"
"Federación","9.513","2","119","0"
"Federal","2.593","3","54","0"
"Feliciano","1.335","1","27","0"
"Gualeguay","7.127","11","140","0"
"Gualeguaychú","27.288","98","341","0"
"Islas del Ibicuy","2.192","4","24","0"
"La Paz","7.648","8","119","0"
"Nogoyá","4.151","6","81","0"
"Paraná","63.053","239","894","1"
"San Salvador","2.723","0","22","0"
"Sin Especificara","7","0","0","0"
"Tala","4.122","4","44","0"
"Uruguay","14.754","10","196","0"
"Victoria","4.857","7","102","0"
"Villaguay","5.244","4","116","0"
"Total","202.212","452","2.811","1"
